epsode,capture,total_captures,lone_wolf_captures,prey_survived_step,predator_distance,avg_predator_distance,predator_proximity_rate,score,capture_x,capture_z,catcher_predator_x,catcher_predator_z,other_predator_x,other_predator_z
181,True,163,142,6300,65.45711,44.09507,0.1377778,0.8711656,68.63177,-68.37936,66.87909,-68.14529,64.67996,-2.725204
182,True,164,143,4926,66.19543,35.80082,0.07389363,0.8719512,68.61328,-5.505333,67.56662,-4.533195,43.94792,-66.37157
183,True,165,144,3180,37.85319,30.02085,0.0,0.8727273,68.63803,-67.89763,67.92981,-66.21645,56.08328,-30.26551
184,True,166,145,5272,22.40175,25.64457,0.1710926,0.873494,68.59741,-68.43097,66.87012,-68.02177,50.98756,-52.2264
185,True,167,146,2778,26.70457,28.35265,0.1036717,0.8742515,54.53351,-2.628448,52.79587,-3.307663,56.71194,-29.72346
186,True,168,147,6386,31.88003,24.53721,0.2289383,0.875,69.0015,-67.91991,68.39857,-66.3213,66.15076,-34.52105
187,True,168,147,20000,0,16.27579,0.4474,0.875,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
188,True,169,148,254,48.07579,55.24236,0.0,0.8757396,19.59485,-20.62891,19.58968,-18.71517,44.47156,-59.85119
189,True,170,149,15474,50.59843,30.14313,0.1890914,0.8764706,15.37405,-10.96545,16.3196,-12.19011,50.76622,-49.25233
190,True,171,150,7936,34.0573,21.33965,0.1774193,0.877193,50.93001,-56.18764,49.61295,-56.89871,56.57257,-23.56039
191,True,172,151,10570,14.86249,27.2047,0.2155156,0.877907,68.62575,-27.35539,66.91467,-27.78546,63.13919,-13.41051
192,True,172,151,20000,0,54.99,0.0,0.877907,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
193,True,172,151,20000,0,33.98941,0.0875,0.877907,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
194,True,173,152,1182,19.03023,29.87564,0.0,0.8786127,28.32848,-36.56072,29.911,-36.11128,39.80885,-52.36479
195,True,174,152,1288,10.10901,17.85886,0.1444099,0.8735632,68.16333,-67.92056,68.26569,-66.1573,66.72293,-56.16759
196,True,175,153,2184,70.1925,38.74294,0.0,0.8742857,3.280266,-68.0026,5.069717,-67.75616,42.64069,-8.465652
197,True,176,154,4610,46.8941,28.75088,0.02950108,0.875,18.96626,-67.88171,19.88012,-66.30353,50.52434,-30.80774
198,True,177,155,7086,56.84428,36.0961,0.0,0.8757062,68.62845,-68.21564,66.82303,-68.0219,42.60594,-16.595
199,True,178,156,9796,60.04103,35.12068,0.05022458,0.8764045,69.06506,-67.90152,68.40331,-66.30202,45.87791,-10.64674
