[Inference] sequence_length_32_memory_size_64
[Episode 85] [capture] total_captures = 86, lone_wolf_captures = 74, prey_survived_step = 1354, predator_distance = 12.67168, avg_predator_distance = 35.59232, predator_proximity_rate = 0, score = 0.8604651
[Episode 86] [capture] total_captures = 87, lone_wolf_captures = 75, prey_survived_step = 142, predator_distance = 29.16612, avg_predator_distance = 24.73739, predator_proximity_rate = 0, score = 0.862069
[Episode 87] [capture] total_captures = 88, lone_wolf_captures = 76, prey_survived_step = 1220, predator_distance = 26.63959, avg_predator_distance = 31.87772, predator_proximity_rate = 0, score = 0.8636364
[Episode 88] [capture] total_captures = 89, lone_wolf_captures = 77, prey_survived_step = 817, predator_distance = 31.3696, avg_predator_distance = 29.53195, predator_proximity_rate = 0, score = 0.8651685
[Episode 89] [capture] total_captures = 90, lone_wolf_captures = 78, prey_survived_step = 1325, predator_distance = 13.07238, avg_predator_distance = 15.76638, predator_proximity_rate = 0, score = 0.8666667
[Episode 90] [timeout] total_captures = 90, lone_wolf_captures = 78, prey_survived_step = 10000, avg_predator_distance = 11.37191, predator_proximity_rate = 0.6736, score = 0.8666667
[Episode 91] [capture] total_captures = 91, lone_wolf_captures = 79, prey_survived_step = 46, predator_distance = 14.56919, avg_predator_distance = 14.90091, predator_proximity_rate = 0, score = 0.8681319
[Episode 92] [timeout] total_captures = 91, lone_wolf_captures = 79, prey_survived_step = 10000, avg_predator_distance = 2.769845, predator_proximity_rate = 0.99, score = 0.8681319
[Episode 93] [capture] total_captures = 92, lone_wolf_captures = 80, prey_survived_step = 567, predator_distance = 19.37532, avg_predator_distance = 23.34602, predator_proximity_rate = 0, score = 0.8695652
[Episode 94] [capture] total_captures = 93, lone_wolf_captures = 81, prey_survived_step = 3868, predator_distance = 21.26685, avg_predator_distance = 8.038586, predator_proximity_rate = 0.6871768, score = 0.8709677
[Episode 95] [capture] total_captures = 94, lone_wolf_captures = 82, prey_survived_step = 198, predator_distance = 36.01368, avg_predator_distance = 31.93262, predator_proximity_rate = 0, score = 0.8723404
[Episode 96] [capture] total_captures = 95, lone_wolf_captures = 82, prey_survived_step = 1081, predator_distance = 5.523373, avg_predator_distance = 3.644046, predator_proximity_rate = 1, score = 0.8631579
[Episode 97] [capture] total_captures = 96, lone_wolf_captures = 82, prey_survived_step = 1782, predator_distance = 8.199845, avg_predator_distance = 11.07483, predator_proximity_rate = 0.3855219, score = 0.8541667
[Episode 98] [capture] total_captures = 97, lone_wolf_captures = 83, prey_survived_step = 312, predator_distance = 23.26773, avg_predator_distance = 22.83162, predator_proximity_rate = 0, score = 0.8556701
[Episode 99] [capture] total_captures = 98, lone_wolf_captures = 84, prey_survived_step = 1759, predator_distance = 15.91114, avg_predator_distance = 6.41797, predator_proximity_rate = 0.6924389, score = 0.8571429
[Episode 100] [capture] total_captures = 99, lone_wolf_captures = 85, prey_survived_step = 8678, predator_distance = 8.303276, avg_predator_distance = 22.5197, predator_proximity_rate = 0.2557041, score = 0.8585858
[Episode 101] [capture] total_captures = 100, lone_wolf_captures = 86, prey_survived_step = 178, predator_distance = 24.63538, avg_predator_distance = 22.53922, predator_proximity_rate = 0, score = 0.86
[Episode 102] [capture] total_captures = 101, lone_wolf_captures = 87, prey_survived_step = 172, predator_distance = 34.15734, avg_predator_distance = 37.68384, predator_proximity_rate = 0, score = 0.8613861
[Episode 103] [capture] total_captures = 102, lone_wolf_captures = 88, prey_survived_step = 382, predator_distance = 14.75569, avg_predator_distance = 16.90978, predator_proximity_rate = 0, score = 0.8627451
[Episode 104] [capture] total_captures = 103, lone_wolf_captures = 89, prey_survived_step = 6186, predator_distance = 39.82098, avg_predator_distance = 30.68864, predator_proximity_rate = 0.21387, score = 0.8640777
[Episode 105] [capture] total_captures = 104, lone_wolf_captures = 90, prey_survived_step = 208, predator_distance = 17.21968, avg_predator_distance = 16.26166, predator_proximity_rate = 0, score = 0.8653846
[Episode 106] [capture] total_captures = 105, lone_wolf_captures = 91, prey_survived_step = 1094, predator_distance = 28.66512, avg_predator_distance = 31.78672, predator_proximity_rate = 0, score = 0.8666667
[Episode 107] [capture] total_captures = 106, lone_wolf_captures = 91, prey_survived_step = 2136, predator_distance = 7.886028, avg_predator_distance = 3.257404, predator_proximity_rate = 0.991573, score = 0.8584906
[Episode 108] [capture] total_captures = 107, lone_wolf_captures = 91, prey_survived_step = 3253, predator_distance = 5.571358, avg_predator_distance = 3.525418, predator_proximity_rate = 0.9588072, score = 0.8504673
[Episode 109] [capture] total_captures = 108, lone_wolf_captures = 92, prey_survived_step = 75, predator_distance = 17.23851, avg_predator_distance = 15.86601, predator_proximity_rate = 0, score = 0.8518519
[Episode 110] [capture] total_captures = 109, lone_wolf_captures = 93, prey_survived_step = 1242, predator_distance = 18.23111, avg_predator_distance = 33.30204, predator_proximity_rate = 0, score = 0.853211
[Episode 111] [capture] total_captures = 110, lone_wolf_captures = 94, prey_survived_step = 78, predator_distance = 32.19966, avg_predator_distance = 29.8717, predator_proximity_rate = 0, score = 0.8545455
[Episode 112] [capture] total_captures = 111, lone_wolf_captures = 94, prey_survived_step = 1739, predator_distance = 8.944253, avg_predator_distance = 17.71516, predator_proximity_rate = 0.03220242, score = 0.8468468
[Episode 113] [capture] total_captures = 112, lone_wolf_captures = 95, prey_survived_step = 2056, predator_distance = 22.4144, avg_predator_distance = 31.34016, predator_proximity_rate = 0, score = 0.8482143
[Episode 114] [capture] total_captures = 113, lone_wolf_captures = 96, prey_survived_step = 1331, predator_distance = 18.89743, avg_predator_distance = 16.1533, predator_proximity_rate = 0, score = 0.8495575
[Episode 115] [capture] total_captures = 114, lone_wolf_captures = 96, prey_survived_step = 1335, predator_distance = 2.630959, avg_predator_distance = 23.23263, predator_proximity_rate = 0.106367, score = 0.8421053
[Episode 116] [capture] total_captures = 115, lone_wolf_captures = 97, prey_survived_step = 2290, predator_distance = 36.71159, avg_predator_distance = 41.85199, predator_proximity_rate = 0, score = 0.8434783
[Episode 117] [capture] total_captures = 116, lone_wolf_captures = 98, prey_survived_step = 2701, predator_distance = 27.0078, avg_predator_distance = 15.06552, predator_proximity_rate = 0.249167, score = 0.8448276
[Episode 118] [capture] total_captures = 117, lone_wolf_captures = 99, prey_survived_step = 2187, predator_distance = 8.984689, avg_predator_distance = 10.47429, predator_proximity_rate = 0.5066301, score = 0.8461539
[Episode 119] [capture] total_captures = 118, lone_wolf_captures = 100, prey_survived_step = 3620, predator_distance = 17.80858, avg_predator_distance = 38.34497, predator_proximity_rate = 0, score = 0.8474576
[Episode 120] [capture] total_captures = 119, lone_wolf_captures = 100, prey_survived_step = 5508, predator_distance = 5.680736, avg_predator_distance = 14.51084, predator_proximity_rate = 0.5820625, score = 0.8403361
[Episode 121] [capture] total_captures = 120, lone_wolf_captures = 101, prey_survived_step = 9771, predator_distance = 30.61118, avg_predator_distance = 15.21853, predator_proximity_rate = 0.3738614, score = 0.8416666
[Episode 122] [capture] total_captures = 121, lone_wolf_captures = 102, prey_survived_step = 89, predator_distance = 22.8089, avg_predator_distance = 26.3317, predator_proximity_rate = 0, score = 0.8429752
[Episode 123] [capture] total_captures = 122, lone_wolf_captures = 102, prey_survived_step = 3457, predator_distance = 3.249655, avg_predator_distance = 3.261833, predator_proximity_rate = 0.9528493, score = 0.8360656
[Episode 124] [capture] total_captures = 123, lone_wolf_captures = 103, prey_survived_step = 939, predator_distance = 18.35628, avg_predator_distance = 12.46468, predator_proximity_rate = 0.3258786, score = 0.8373984
[Episode 125] [capture] total_captures = 124, lone_wolf_captures = 104, prey_survived_step = 207, predator_distance = 29.26613, avg_predator_distance = 22.14861, predator_proximity_rate = 0, score = 0.8387097
