[Inference] gamma_0950
[Episode 64] [capture] total_captures = 64, lone_wolf_captures = 56, prey_survived_step = 1328, predator_distance = 22.56676, avg_predator_distance = 8.616634, predator_proximity_rate = 0.6483434, score = 0.875
[Episode 65] [capture] total_captures = 65, lone_wolf_captures = 56, prey_survived_step = 6935, predator_distance = 4.537755, avg_predator_distance = 16.62672, predator_proximity_rate = 0.295602, score = 0.8615385
[Episode 66] [capture] total_captures = 66, lone_wolf_captures = 57, prey_survived_step = 709, predator_distance = 28.08863, avg_predator_distance = 33.15682, predator_proximity_rate = 0, score = 0.8636364
[Episode 67] [capture] total_captures = 67, lone_wolf_captures = 58, prey_survived_step = 605, predator_distance = 44.34116, avg_predator_distance = 34.94502, predator_proximity_rate = 0, score = 0.8656716
[Episode 68] [capture] total_captures = 68, lone_wolf_captures = 59, prey_survived_step = 1559, predator_distance = 25.03065, avg_predator_distance = 24.70526, predator_proximity_rate = 0, score = 0.8676471
[Episode 69] [capture] total_captures = 69, lone_wolf_captures = 60, prey_survived_step = 1, predator_distance = 15.3975, avg_predator_distance = 15.39979, predator_proximity_rate = 0, score = 0.8695652
[Episode 70] [capture] total_captures = 70, lone_wolf_captures = 61, prey_survived_step = 856, predator_distance = 36.85188, avg_predator_distance = 37.79182, predator_proximity_rate = 0, score = 0.8714285
[Episode 71] [capture] total_captures = 71, lone_wolf_captures = 62, prey_survived_step = 101, predator_distance = 42.61733, avg_predator_distance = 44.60294, predator_proximity_rate = 0, score = 0.8732395
[Episode 72] [capture] total_captures = 72, lone_wolf_captures = 63, prey_survived_step = 756, predator_distance = 17.60369, avg_predator_distance = 25.65282, predator_proximity_rate = 0, score = 0.875
[Episode 73] [capture] total_captures = 73, lone_wolf_captures = 64, prey_survived_step = 558, predator_distance = 32.58211, avg_predator_distance = 31.92666, predator_proximity_rate = 0, score = 0.8767123
[Episode 74] [capture] total_captures = 74, lone_wolf_captures = 65, prey_survived_step = 417, predator_distance = 13.41907, avg_predator_distance = 21.89457, predator_proximity_rate = 0, score = 0.8783784
[Episode 75] [capture] total_captures = 75, lone_wolf_captures = 66, prey_survived_step = 2956, predator_distance = 38.56333, avg_predator_distance = 25.04947, predator_proximity_rate = 0.07408661, score = 0.88
[Episode 76] [capture] total_captures = 76, lone_wolf_captures = 67, prey_survived_step = 2002, predator_distance = 37.8604, avg_predator_distance = 24.38448, predator_proximity_rate = 0.1658342, score = 0.8815789
[Episode 77] [capture] total_captures = 77, lone_wolf_captures = 68, prey_survived_step = 352, predator_distance = 24.70269, avg_predator_distance = 15.19537, predator_proximity_rate = 0.3096591, score = 0.8831169
[Episode 78] [capture] total_captures = 78, lone_wolf_captures = 69, prey_survived_step = 645, predator_distance = 33.80706, avg_predator_distance = 37.28139, predator_proximity_rate = 0, score = 0.8846154
[Episode 79] [capture] total_captures = 79, lone_wolf_captures = 70, prey_survived_step = 6204, predator_distance = 37.15564, avg_predator_distance = 17.1018, predator_proximity_rate = 0.2541908, score = 0.886076
[Episode 80] [capture] total_captures = 80, lone_wolf_captures = 70, prey_survived_step = 790, predator_distance = 6.303117, avg_predator_distance = 11.2271, predator_proximity_rate = 0.5708861, score = 0.875
[Episode 81] [capture] total_captures = 81, lone_wolf_captures = 71, prey_survived_step = 5394, predator_distance = 36.32204, avg_predator_distance = 14.83661, predator_proximity_rate = 0.2953281, score = 0.8765432
[Episode 82] [capture] total_captures = 82, lone_wolf_captures = 72, prey_survived_step = 1647, predator_distance = 29.19885, avg_predator_distance = 12.90166, predator_proximity_rate = 0.3035823, score = 0.8780488
[Episode 83] [capture] total_captures = 83, lone_wolf_captures = 73, prey_survived_step = 634, predator_distance = 35.80479, avg_predator_distance = 18.0423, predator_proximity_rate = 0, score = 0.8795181
