[Inference] c9_r2
[Episode 105] [capture] total_captures = 105, lone_wolf_captures = 90, prey_survived_step = 936, predator_distance = 3.15288, avg_predator_distance = 10.34266, predator_proximity_rate = 0.2713675, score = 0.8571429
[Episode 106] [capture] total_captures = 106, lone_wolf_captures = 91, prey_survived_step = 1294, predator_distance = 26.35591, avg_predator_distance = 22.85453, predator_proximity_rate = 0, score = 0.8584906
[Episode 107] [capture] total_captures = 107, lone_wolf_captures = 92, prey_survived_step = 692, predator_distance = 9.617417, avg_predator_distance = 14.10486, predator_proximity_rate = 0.3309249, score = 0.8598131
[Episode 108] [capture] total_captures = 108, lone_wolf_captures = 93, prey_survived_step = 513, predator_distance = 27.03627, avg_predator_distance = 20.4363, predator_proximity_rate = 0, score = 0.8611111
[Episode 109] [capture] total_captures = 109, lone_wolf_captures = 93, prey_survived_step = 406, predator_distance = 2.393064, avg_predator_distance = 5.400251, predator_proximity_rate = 0.9039409, score = 0.853211
[Episode 110] [capture] total_captures = 110, lone_wolf_captures = 94, prey_survived_step = 1963, predator_distance = 11.78411, avg_predator_distance = 7.414853, predator_proximity_rate = 0.5863474, score = 0.8545455
[Episode 111] [capture] total_captures = 111, lone_wolf_captures = 95, prey_survived_step = 72, predator_distance = 24.11276, avg_predator_distance = 23.98225, predator_proximity_rate = 0, score = 0.8558559
[Episode 112] [timeout] total_captures = 111, lone_wolf_captures = 95, prey_survived_step = 5000, avg_predator_distance = 4.208873, predator_proximity_rate = 0.9214, score = 0.8558559
[Episode 113] [capture] total_captures = 112, lone_wolf_captures = 96, prey_survived_step = 4002, predator_distance = 11.94078, avg_predator_distance = 3.887707, predator_proximity_rate = 0.9342828, score = 0.8571429
[Episode 114] [capture] total_captures = 113, lone_wolf_captures = 97, prey_survived_step = 415, predator_distance = 28.1591, avg_predator_distance = 28.40395, predator_proximity_rate = 0, score = 0.8584071
[Episode 115] [capture] total_captures = 114, lone_wolf_captures = 97, prey_survived_step = 490, predator_distance = 1.99774, avg_predator_distance = 19.79689, predator_proximity_rate = 0.2428571, score = 0.8508772
[Episode 116] [capture] total_captures = 115, lone_wolf_captures = 98, prey_survived_step = 1090, predator_distance = 9.076383, avg_predator_distance = 24.42169, predator_proximity_rate = 0, score = 0.8521739
[Episode 117] [timeout] total_captures = 115, lone_wolf_captures = 98, prey_survived_step = 5000, avg_predator_distance = 8.19028, predator_proximity_rate = 0.7294, score = 0.8521739
[Episode 118] [capture] total_captures = 116, lone_wolf_captures = 99, prey_survived_step = 1339, predator_distance = 12.68493, avg_predator_distance = 4.770123, predator_proximity_rate = 0.9305452, score = 0.8534483
