epsode,capture,total_captures,lone_wolf_captures,prey_survived_step,predator_distance,avg_predator_distance,predator_proximity_rate,score,capture_x,capture_z,catcher_predator_x,catcher_predator_z,other_predator_x,other_predator_z
136,True,121,102,4564,4.487735,25.45469,0.0363716,0.8429752,23.08109,-11.21263,22.96028,-12.68747,22.32716,-8.244675
137,True,122,103,10072,45.69869,21.47609,0.2694599,0.8442623,3.22287,-24.52057,4.144775,-22.92164,40.72774,-50.30864
138,True,123,104,3544,16.185,37.25584,0.0,0.8455285,38.16488,-38.3928,38.30475,-37.00528,22.42852,-33.85904
139,True,124,105,1890,40.07185,33.23632,0.0,0.8467742,3.255653,-61.88367,4.245804,-60.3768,14.97741,-21.7691
140,True,125,105,9070,6.686342,43.16333,0.03969129,0.84,54.70554,-21.96416,53.54401,-22.74818,47.82377,-26.21021
141,True,126,105,1166,9.741817,12.04906,0.6397942,0.8333333,56.86681,-37.17142,55.12933,-36.71348,50.95406,-27.91192
142,True,127,105,5882,8.695045,29.42384,0.05372322,0.8267717,68.59647,-32.35202,67.08052,-31.47104,61.72258,-24.62296
143,True,128,105,1800,6.870048,28.24702,0.1088889,0.8203125,3.211899,-51.06552,3.947495,-52.72724,5.418571,-46.01697
144,True,128,105,20000,0,16.6645,0.3863,0.8203125,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
145,True,129,106,6128,62.42163,29.46269,0.05156658,0.8217054,68.9241,-66.3083,68.76761,-64.46646,18.76347,-27.10316
146,True,130,107,9540,35.61339,17.12499,0.3138365,0.8230769,16.1507,-43.85106,17.87274,-43.48944,45.95198,-21.58397
147,True,131,108,2524,29.79199,40.88666,0.0,0.8244275,3.264053,-19.9505,4.830231,-20.13487,22.77359,-43.91718
148,True,132,109,982,25.11274,21.2209,0.0,0.8257576,68.46326,-60.16344,67.40031,-61.33547,52.0513,-41.45969
149,True,133,110,14920,45.98731,41.8195,0.0,0.8270677,68.69238,-53.00844,67.8315,-54.64182,23.81554,-67.96188
150,True,134,111,2264,33.74223,25.79699,0.0,0.8283582,15.64444,-43.37617,17.2509,-42.75805,47.36145,-27.53025
151,True,135,112,6886,36.95506,22.37366,0.1887888,0.8296296,17.21399,-43.31481,17.93742,-44.99063,53.32407,-34.33906
152,True,136,113,12050,51.89836,33.89293,0.046639,0.8308824,4.722374,-67.2581,6.187752,-66.67073,57.24051,-57.34515
153,True,137,114,4744,41.73046,25.45873,0.2436762,0.8321168,68.73549,-67.93066,68.85703,-66.2221,42.12264,-34.1814
154,True,138,115,3394,52.00308,37.11973,0.01473188,0.8333333,52.64435,-68.0598,52.81772,-66.71117,44.56637,-15.367
155,True,139,116,12778,59.30586,26.24616,0.08264204,0.8345324,3.291306,-5.05912,4.953117,-4.756966,42.05087,-51.02676
156,True,140,117,8576,38.76575,28.55561,0.0520056,0.8357143,68.63216,-68.38213,66.90665,-68.12806,57.79199,-30.44975
157,True,141,118,212,58.1215,53.84192,0.0,0.8368794,68.52829,-27.0687,66.97203,-26.26806,8.996712,-30.38646
158,True,142,119,3202,25.36142,19.46459,0.0,0.8380282,3.312202,-58.30309,4.919083,-57.53255,28.2601,-47.61297
159,True,143,120,4752,47.86095,52.36309,0.0,0.8391609,51.42776,-67.88184,52.47688,-66.47057,5.057137,-59.98774
160,True,144,121,12040,48.31892,17.69795,0.4068106,0.8402778,3.303108,-7.39978,4.588104,-6.141785,52.73886,-10.16869
161,True,145,122,3512,64.89047,44.64172,0.0,0.8413793,69.17758,-54.2454,69.06784,-52.44317,8.961693,-27.98944
162,True,146,123,11990,12.72894,17.12429,0.4542118,0.8424658,3.843765,-2.774239,3.811768,-4.446518,4.638878,-17.14815
163,True,147,124,2788,16.4929,6.461756,0.8185079,0.8435374,3.274254,-67.95305,3.195244,-66.21251,17.20692,-57.51456
164,True,148,125,1588,34.28995,43.02383,0.0,0.8445946,10.78242,-17.44025,8.997955,-17.82042,42.90488,-12.70959
165,True,149,126,8060,50.19456,23.21636,0.2650124,0.8456376,57.81754,-67.89503,56.75443,-66.45206,45.41959,-17.55432
166,True,149,126,20000,0,25.15785,0.3456,0.8456376,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
167,True,150,127,2442,52.83155,27.89702,0.0,0.8466667,3.310959,-44.8458,4.648529,-43.6113,56.11423,-31.67611
168,True,151,128,5696,40.08773,33.29082,0.0,0.8476821,3.855667,-67.1497,5.897957,-66.74466,43.16136,-51.96603
169,True,152,129,19042,40.66561,42.67206,0.0,0.8486842,23.12575,-7.700127,22.25178,-9.324768,62.70203,-13.50395
170,True,153,130,6120,39.65039,42.42897,0.0,0.8496732,57.09753,-43.9012,56.64699,-42.22227,53.06287,-2.734245
171,True,154,131,3546,36.67995,38.21296,0.0,0.8506494,48.84799,-3.247627,49.29408,-4.68792,41.44405,-40.51802
172,True,155,132,7108,40.53098,13.10546,0.6218346,0.8516129,68.69153,-67.90706,68.40889,-66.15771,60.84251,-26.33965
173,True,156,133,2812,31.30193,17.44612,0.3570412,0.8525641,40.05304,-2.669182,39.41997,-4.358208,32.42061,-34.86748
174,True,157,134,5872,36.49943,31.59161,0.0,0.8535032,68.03276,-67.88815,68.7558,-66.33901,57.16837,-31.72865
175,True,158,135,12780,18.01077,22.58821,0.3071988,0.8544304,68.61792,-2.346123,66.89236,-2.737228,49.73865,-8.226234
176,True,159,136,1226,70.53832,53.583,0.0,0.8553459,40.9548,-67.74384,42.18925,-66.43606,9.46859,-3.946037
177,True,160,136,3710,8.459768,24.01088,0.4010782,0.85,68.60736,-67.90928,67.6814,-66.34763,60.92978,-61.25389
178,True,161,137,1804,48.92802,25.98807,0.2738359,0.8509317,3.273651,-43.68505,4.373169,-42.88653,46.34535,-17.74168
179,True,161,137,20000,0,7.000035,0.845,0.8509317,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
