epsode,capture,total_captures,lone_wolf_captures,prey_survived_step,predator_distance,avg_predator_distance,predator_proximity_rate,score,capture_x,capture_z,catcher_predator_x,catcher_predator_z,other_predator_x,other_predator_z
187,True,170,159,6164,31.00692,23.29136,0.261843,0.9352941,51.63153,-2.819534,50.96205,-4.466309,20.00777,-2.670525
188,True,170,159,20000,0,37.31206,0.0758,0.9352941,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
189,True,170,159,20000,0,27.84114,0.1883,0.9352941,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
190,True,171,160,3408,59.59512,34.20446,0.0,0.9356725,3.272598,-3.052696,5.022614,-3.092323,58.35086,-29.69333
191,True,172,161,2190,71.76829,66.15126,0.0,0.9360465,68.60529,-67.91974,67.17953,-67.40495,36.03421,-2.747017
192,True,173,162,4700,66.09907,43.33742,0.0,0.9364162,68.62756,-2.832161,66.86996,-2.598221,12.25484,-39.83047
193,True,174,163,18256,39.33908,32.02195,0.0,0.9367816,68.01482,-43.39564,66.79478,-42.0222,64.44308,-2.753494
194,True,174,163,20000,0,41.55225,0.0,0.9367816,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
195,True,175,164,488,27.13122,33.56448,0.0,0.9371428,34.35751,-11.28523,35.83623,-10.34634,34.04483,-37.41836
196,True,176,165,1090,37.5498,55.9857,0.0,0.9375,48.45709,-29.62472,49.14539,-30.93102,33.2309,-64.94121
197,True,177,166,15572,24.85725,45.63517,0.0,0.9378531,68.59685,-38.54464,66.88379,-39.01585,68.66095,-63.80925
198,True,178,167,10026,62.05758,49.64057,0.0,0.9382023,15.90947,-4.517067,16.09355,-6.317673,8.931107,-67.96046
199,True,179,168,422,60.92319,51.79934,0.0,0.9385475,24.80881,-67.68819,24.61858,-65.75983,44.1777,-8.061752
200,True,180,169,1398,32.88242,53.37473,0.0,0.9388889,34.09201,-15.91648,34.49748,-17.25559,3.225311,-7.093262
201,True,181,170,2086,15.90248,42.85716,0.0,0.9392265,42.07259,-41.15333,42.75862,-39.8422,29.37166,-48.42529
202,True,182,171,8424,72.6143,39.84045,0.03110161,0.9395604,59.69258,-54.72208,57.90344,-54.34709,3.23819,-6.551094
203,True,183,172,2630,32.88776,22.4719,0.1444867,0.9398907,37.69795,-38.14563,38.83761,-36.59786,31.05774,-4.643883
204,True,184,173,1100,23.40265,15.22448,0.3781818,0.9402174,21.32071,-51.18088,22.97746,-50.85324,46.30197,-52.76183
205,True,185,173,4604,3.413751,32.0424,0.04257168,0.9351351,66.32382,-64.60567,65.099,-63.25281,68.46628,-63.80348
206,True,186,174,4076,14.54043,34.07852,0.0,0.9354839,48.89113,-15.41151,49.79147,-16.97678,52.8343,-2.758316
207,True,186,174,20000,0,39.24701,0.0283,0.9354839,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
208,True,187,175,796,16.25648,12.96613,0.3165829,0.9358289,28.61188,-15.99956,28.17711,-17.73553,38.3616,-30.40604
209,True,188,176,914,29.3244,20.94779,0.0,0.9361702,68.72299,-2.976845,67.34375,-2.937187,56.80774,-30.30281
210,True,189,177,15256,59.04473,40.35202,0.01782905,0.9365079,68.98148,-2.819382,68.02679,-4.278214,68.65517,-63.3196
211,True,190,178,2186,18.97518,37.18747,0.0,0.9368421,25.02899,-39.10901,25.41235,-40.75126,42.43642,-32.37125
212,True,190,178,20000,0,27.49941,0.1657,0.9368421,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
213,True,191,179,1356,56.79041,54.83745,0.0,0.9371728,13.88651,-22.09019,14.39706,-23.40453,68.70221,-40.02055
214,True,192,180,9786,41.03279,39.60198,0.0,0.9375,16.96955,-44.88479,18.66648,-44.31844,3.234314,-6.2985
215,True,193,181,9350,16.24247,32.30436,0.04128342,0.9378238,19.08192,-2.486908,19.20467,-4.032692,3.250427,-7.078949
216,True,194,182,11002,64.59088,31.19048,0.0,0.9381443,53.43399,-67.19355,52.50716,-66.19547,64.65248,-2.756783
217,True,194,182,20000,0,44.21377,0.0066,0.9381443,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
